nbd,foodgrp,name,water,energy,protein,carb,fiber,sugar,sodium,satfat,chol
21512,Fast Foods,"PIZZA HUT 14"" CHS PIZZA,STUFFED CRUST",43.37,274,12.23,30,1.7,2.9,615,5.825,30
21513,Fast Foods,"KASHI PIZZA,GREEK TZATZIKI,SINGLE SERVE",46.3,223,11.1,29.7,5.9,2.7,322,2.3,10
21514,Fast Foods,"KASHI PIZZA,TIKKA MASALA,SINGLE SERVE",49,212,10.2,29.5,6,4,247,2.1,8
21515,Fast Foods,"MORNINGSTAR FARMS PIZZA,BAJA BLACK BEAN,SINGLE SERVE",45.3,252,10.6,36.9,5.2,3.3,261,2.7,12
25000,Snacks,"POPCORN,OIL-POPPED,LOFAT",4.22,402,10.72,76.04,13.6,0.65,571,1.184,0
25001,Snacks,"POPCORN,OIL-POPPED,LOFAT",2.8,424,12.6,72,14.2,0.92,540,1.415,0
25003,Snacks,"SNACKS,CANDY ROLLS,YOGURT-COVERED,FRUIT FLAV W/ HI VIT C",17.59,359,0.46,74.64,3.3,39.15,8,5.096,0
25004,Snacks,"FORMULATE BAR,MAR SNACKFOO US,SNICKE MARATH CHE CHOC PNUT BA",12.9,396,24.29,47.24,2.5,32.86,462,4.728,4
25005,Snacks,"FORM BAR,MARS SNKF US,SNICKERS MARATHON MULTIGRNCRUNCH",7.99,422,18.49,57.27,2.8,33.04,418,4.794,3
25006,Snacks,"FORMULAT BAR,MARSNACKFOO US,SNICKE MARATHO DOUBL CHOC NUT BA",14,343,22.35,52.47,10.5,22.67,333,4.847,4
25007,Snacks,"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,PNUT BUTTER",7,463,5.88,64.69,2.6,44.29,268,10.411,0
25009,Snacks,"SNACKS,M&M MARS,KUDOS WHL GRAIN BAR,M&M'S MILK CHOC",8,415,3.78,73.01,2.4,37.81,341,6.802,4
25010,Snacks,"FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC ALMOND",22.9,347,7.72,51.68,5.2,27.03,260,4.326,2
25012,Snacks,"SNACKS,SWT POTATO CHIPS,UNSALTED",4.51,532,2.94,56.82,8.8,8.82,35,2.941,0
25013,Snacks,"SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN SNACK,ORIGINAL FLAVOR",2.04,491,7.95,67.26,8.8,7.2,423,2.166,0
25014,Snacks,"SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL",0.34,557,7.5,55.16,10,0.55,764,7.216,0
25015,Snacks,"FORMBAR,MARSSNACK,SNICKERS MARATHONPROTPERFBAR,CARMELNUTRUSH",9,415,25,50.5,12.5,28.75,238,6.25,6
25016,Snacks,"FORMUL BAR,MA SNACKFO US,SNICKE MARATH ENER BAR,ALL FLAVO",14,386,21.91,50.3,6.7,28.71,383,4.753,4
25017,Snacks,"FORMULATED BAR,POWER BAR,CHOC",9.83,363,14.15,69.63,5.7,30.07,308,1.32,0
25018,Snacks,"FORM BAR,MARS SNACKFOOD US,COCOAVIA,CHOC BLUEBERRY",20.1,325,6.21,57.87,4.6,33.4,260,3.87,2
25020,Snacks,"FORMULATED BAR,SLIM-FAST OPTIMA MEAL BAR,MILK CHOC PNUT",10.87,386,16.19,60.21,5.1,25,253,5.36,7
25021,Snacks,"FORMULATED BAR,LUNA BAR,NUTZ OVER CHOC",9.38,403,20.75,52.49,4.3,16.9,386,5.523,0
25022,Snacks,"SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN,FRENCH ONION FLAVOR",2.04,496,8.68,65.49,7.8,8.82,467,2.469,0
25023,Snacks,"SNACKS,FRITOLAY,SUNCHIPS,MULTIGRAIN,HARVEST CHEDDAR",2.5,491,8.08,64.7,8.1,7.05,705,2.892,0
25024,Snacks,"PRETZELS,SOFT,UNSALTED",15,345,8.2,71.04,1.7,0.25,252,0.695,0
25025,Snacks,"SNACKS,SOY CHIPS OR CRISPS,SALTED",8.5,385,26.5,53.15,3.5,1.8,842,1.102,0
25026,Snacks,"Popcor, microwav, regula (butter) flavo, mad with pal oil",0.9,535,8.38,57.26,10,0.3,763,14.598,0
25027,Snacks,"SNACKS,PLANTAIN CHIPS,SALTED",2.09,531,2.28,63.84,3.5,0.92,202,8.337,0
25028,Snacks,"Tortilla chips, yellow, plain, salted",1.94,497,6.62,67.38,4.7,1.21,310,2.776,0
25030,Snacks,"SNACKS,VEG CHIPS,HAIN CELESTIAL GROUP,TERRA CHIPS",4.54,517,4.13,57.97,10.9,9.75,246,1.887,0
25031,Snacks,"FORM BAR,ZONE PERFECT CLASSIC CRUNCH BAR,MXD FLAVORS",7,422,30,45,2,27,520,4.499,8
25032,Snacks,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CHEWY,MXD FLAVORS",9.23,390,16.67,63.42,7.7,42.31,321,3.227,6
25033,Snacks,"SNACKS,GRANOLA BAR,KASHI TLC BAR,CHEWY,MXD FLAVORS",9.34,429,18.57,53.26,11.4,17.14,293,1.213,0
25034,Snacks,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CRUNCHY,MXD FLAVORS",9.43,393,17.88,59.58,5.9,27.3,486,4.687,0
25035,Snacks,"SNACKS,GRANOLA BAR,CHEWY,RED SUGAR,ALL FLAVORS",11.65,412,5.55,69.4,3.1,20.8,312,5.008,0
25036,Snacks,"SNACKS,GRANOLA BITES,MXD FLAVORS",7.88,451,7.17,66.27,5.7,30,167,9.888,0
25037,Snacks,"SNACKS,PITA CHIPS,SALTED",2,457,11.79,68.26,3.8,4.76,854,1.342,0
25038,Snacks,"SNACKS,GRANOLA BARS,SOFT,ALMOND,CONFECTIONERS COATING",8.74,455,8.6,60.13,4.3,34,486,5.668,0
25039,Snacks,"SNACKS,GRANOLA BARS,QUAKER OATMEAL TO GO,ALL FLAVORS",9.86,389,6.67,75.47,4.6,31.54,367,1.299,36
25040,Snacks,"SNACKS,VEG CHIPS,MADE FROM GARDEN VEG",6.31,473,5.32,60.43,4.7,4.04,357,1.762,0
25041,Snacks,"SNACKS,GRANOLA BAR,KASHI TLC BAR,CRUNCHY,MXD FLAVORS",2.74,446,15,62.78,10,20,400,1.436,0
25043,Snacks,"SNACKS,CANDY BITS,YOGURT COVERED W/ VIT C",3.73,415,0,86.9,0.2,65,75,1.389,3
25045,Snacks,"Formulated bar, high fiber, chewy, oats and chocolate",12.04,350,5,69.78,22.5,25,350,3.397,0
25046,Snacks,"SNACKS,BAGEL CHIPS,PLN",5.05,451,12.34,66.36,4.1,6.02,233,6.835,0
25048,Snacks,"SNACKS,NUTRI-GRAIN FRUIT & NUT BAR",11.26,403,9.38,66.72,7.5,32.45,195,1.93,0
25051,Snacks,"Snacks, CLIF BAR, mixed flavors",11,346,14.71,65.44,7.4,31.62,195,1.471,0
25052,Snacks,"SNACKS,GRANOLA BAR,QUAKER,CHEWY,90 CAL BAR",6.23,408,4.17,79.17,4.2,29.17,313,2.083,0
25053,Snacks,"Snac, grano bar, GENER MILLS NATURE VALL, SWE&SAL NUT, peanu",3.7,487,9.14,61.14,2.9,33.14,414,6.857,0
25054,Snacks,"Snack,gran bar,GENERAL MILLS, NATURE VALLEY, w yogu coati",7.18,423,5.71,74.29,4.4,40,271,1.372,0
25055,Snacks,"Snac, grano bar, GENER MILLS, NATUR VALLE, CHEWY TRAIL MIX",9.3,415,5.71,72.27,3.8,42.86,185,1.435,0
25056,Snacks,"Snacks, granola bar, QUAKER, DIPPS, all flavors",5.56,480,7.52,64.96,3.2,37.61,269,8.693,0
25059,Snacks,"Snacks, brown rice chips",5.8,384,8.2,81.5,4.2,0.6,326,0.642,0
25060,Snacks,"SNACK,PRETZEL,HARD CHOC COATD",3.06,467,7.05,70.07,3.5,38.8,494,8.611,0
25062,Snacks,"Snack, Mixed Berry Bar",15.52,383,13.16,58.84,7.9,26.32,447,3.846,0
25063,Snacks,"Snacks, potato chips, fr dried potatoes, multigrain",2.27,505,5.3,65.34,2.7,4.08,544,6.307,0
25064,Snacks,"SNACKS,POTATO CHIPS,LIGHTLY SALTED",1.35,560,6.72,53.54,4.2,0.34,187,5.49,0
28000,Baked Products,"KELLOGG'S,EGGO,MINI MUFFIN TOPS,CHOC CHIP",34.7,300,5.2,45,1.2,18.5,582,3.5,28
28001,Baked Products,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,MXD BERRY GRANOLA",39.43,259,6.4,41.4,3,11.5,262,3.8,8
28002,Baked Products,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,STRAWBERRY GRANOL",40.8,266,6.5,43.7,2.7,11.9,263,3.7,7
28003,Baked Products,"KELLOGG'S,EGGO,PANCAKES,BLUEBERRY",44.94,245,5.3,39.9,1,10.1,480,1.2,15
28004,Baked Products,"KELLOGG'S,EGGO,PANCAKES,CHOC CHIP",43.84,253,5.5,39.9,1.3,11.2,471,1.8,14
28005,Baked Products,"KELLOGG'S,CINNABON,PANCAKES,CARAMEL",41.9,255,5,43.4,1,15.6,456,1.2,14
28006,Baked Products,"KELLOGG'S,CINNABON,PANCAKES,ORIGINAL",41.6,258,5,43.1,1.1,14.9,456,1.6,14
28007,Baked Products,"KELLOGG'S,EGGO,WAFFLERS,BROWN SUGAR CINN ROLL",27.1,331,4.8,52.2,1.3,21,672,3.4,12
28008,Baked Products,"KELLOGG'S,EGGO,WAFFLERS,STRAWBERRY STRUDEL",29.2,318,5,50,1.2,16.8,691,2.7,12
28009,Baked Products,"KELLOGG'S,EGGO,WAFFLES,BLUEBERRY",40.5,265,5.5,41.7,1.1,9.1,520,2.1,21
28010,Baked Products,"KELLOGG'S,EGGO,WAFFLES,BTTRMLK",39.75,278,6.6,39,1.2,2.9,526,2.7,25
28011,Baked Products,"KELLOGG'S,EGGO,WAFFLES,CINN TOAST",29.6,325,5.5,49.5,1.4,18.2,524,3.4,22
28012,Baked Products,"KELLOGG'S,EGGO,FIBERPLUS WAFFLES,BTTRMLK",41,227,4.7,41.8,13.2,4.7,559,2.1,20
28013,Baked Products,"KELLOGG'S,EGGO,FIBERPLUS WAFFLES,CHOC CHIP",36.8,259,4.3,44.4,12.9,10.9,503,3.3,20
28014,Baked Products,"KELLOGG'S,EGGO,WAFFLES,FRENCH TOAST",35.1,305,5.8,43.4,1.2,11.5,537,4,26
28015,Baked Products,"KELLOGG'S,EGGO,WAFFLES,HOMESTYLE",39.43,278,6.6,39.8,1.2,2.7,586,2.6,26
28016,Baked Products,"KELLOGG'S,EGGO PROT,WAFFLES,HOMESTYLE",36.9,281,10.8,37,1.2,2.7,562,2.5,29
28017,Baked Products,"KASHI,TLC,PITA CRISPS,SEA SALT",2.5,381,10.5,72.4,14.7,5.4,585,0.9,0
28018,Baked Products,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,BLUEBERRY",39.25,257,6.2,43.6,3.9,10,527,1.8,0
28019,Baked Products,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,HONEY OAT",37.5,268,6.6,44.1,3.8,10.5,544,2,0
28020,Baked Products,"KASHI,TLC,PITA CRISPS,ZESTY SALSA",2.5,381,11,71.6,15.3,2.9,585,0.9,0
28021,Baked Products,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,ORIGINAL",44.3,239,6.6,37.6,3.9,3.6,567,2,0
28022,Baked Products,"KELLOGG'S,EGGO SEASONS,WAFFLES,PUMPKIN SPICE",37.5,296,5.5,41.4,1.5,9.2,540,3.1,16
28023,Baked Products,"KELLOGG'S,SIMPLY EGGO,ORIGINAL",36.6,294,6.2,43.3,1.3,5.9,636,2.8,26
28024,Baked Products,"KELLOGG'S,EGGO,WAFFLES,STRAWBERRY",40.9,265,5.5,41.6,1.1,9.3,525,2.1,21
28025,Baked Products,"KELLOGG'S,EGGO,THICK & FLUFFY,WAFFLES,BROWN SUGAR",33.6,307,5.8,44.5,1.1,15.8,490,3.2,0
28026,Baked Products,"KELLOGG'S,EGGO,THICK & FLUFFY,WAFFLES,ORIGINAL",38.23,295,6.5,37.4,1.1,4.7,553,3.3,0
28027,Baked Products,"FAMOUS AMOS,CHOC CHIP COOKIES",2.5,503,4.5,67.7,2.8,32.4,359,9.6,8
28028,Baked Products,"FAMOUS AMOS,CHOC CHIP PECAN COOKIES",2.5,519,5.8,63.8,3.3,31.8,356,9.7,7
28029,Baked Products,"GIRL SCOUTS,CARAMEL DULCE DE LECHE COOKIES",2.5,520,5.1,64.8,1.3,29.6,225,11.2,0
28030,Baked Products,"GIRL SCOUTS,CHALET COOKIES",2.8,478,4.2,72.3,1.5,35.4,247,6.4,0
28031,Baked Products,"GIRL SCOUTS,DO-SI-DOS COOKIES",3,478,8.1,66,3.7,31.1,301,5.9,0
28032,Baked Products,"GIRL SCOUTS,SAMOAS COOKIES",5.7,489,3.5,64.1,4.4,35.8,182,17.7,2
28033,Baked Products,"GIRL SCOUTS,TAGALONGS COOKIES",1.8,558,8.1,52.2,3.5,30.9,371,19.2,0
28034,Baked Products,"GIRL SCOUTS,THANK U BERRY MUNCH COOKIES",3.5,491,4.6,70,1.8,28.9,305,7.8,0
28035,Baked Products,"GIRL SCOUTS,THIN MINTS COOKIES",2,502,4.5,67.3,2.3,32,380,16.5,0
28036,Baked Products,"GIRL SCOUTS,TREFOILS COOKIES",2.5,498,5.7,68,1.6,20.7,343,7.3,1
28037,Baked Products,"JACKSON'S,OLD FASHIONED LEMON JUMBLE COOKIES",4,469,5.7,71.7,1.4,31.6,334,5.9,6
28038,Baked Products,"JACKSON'S,OLD FASHIONED VANILLA WAFERS",4.5,453,5,74,1.1,33.9,390,4.9,11
28040,Baked Products,"KASHI,TLC,OATMEAL DK CHOC COOKIES",8,426,7.2,67,12.2,27.2,222,4.2,0
28041,Baked Products,"KASHI,TLC,OATMEAL RAISIN FLAX COOKIES",8.5,414,7.7,67,12.8,24.8,236,1.6,0
28043,Baked Products,"KEEBLER,ANIMALS,COOKIES",2.8,450,5.6,75.3,1.4,25.4,468,4.5,0
28044,Baked Products,"KEEBLER,ANIMALS,FRSTD COOKIES",2,506,3,70,0.9,41.1,257,16.2,0
28045,Baked Products,"KEEBLER,ANIMALS,ICED COOKIES",3.75,459,5.6,74.2,1.6,26.7,337,5,0
28046,Baked Products,"KEEBLER,ANIMALS,CRACKERS",2.8,450,5.6,75.3,1.4,25.4,468,4.5,0
28047,Baked Products,"KEEBLER,BAKER'S TREASURES,CHOC CHIP COOKIE,SOFT",8.5,437,5.3,69.9,2.4,36.2,348,6.3,7
28048,Baked Products,"KEEBLER,BAKER'S TREASURES,OATMEAL RAISIN COOKIE,SOFT",9.5,420,6.1,69.1,3.6,32.3,321,4.6,11
28049,Baked Products,"KEEBLER,CHS & CHEDDAR SNDWCH CRACKERS",2.7,502,8.1,59.5,1.3,13.4,760,6.4,4
28050,Baked Products,"KEEBLER,CLUB & CHEDDAR SNDWCH CRACKERS",2.7,494,8.4,61.3,1.3,14.1,756,6.1,4
28051,Baked Products,"KEEBLER,CHS ON WHEAT SNDWCH CRACKERS",2.7,499,8.4,59.8,1.8,14.2,790,6.3,4
28052,Baked Products,"KEEBLER,CHIPS DELUXE,CHOC LOVERS COOKIES",3,508,5.5,63,3.1,34,417,11.7,7
28053,Baked Products,"KEEBLER,CHIPS DELUXE,CHOC MALT CHUNK COOKIES",2.7,537,4.7,61.8,1.7,31.6,342,13.8,9
28054,Baked Products,"KEEBLER,CHIPS DELUXE,COCNT COOKIES",2.5,530,5.7,61.5,3.7,28.4,293,14.1,0
28055,Baked Products,"KEEBLER,CHIPS DELUXE,DK CHOC CHUNK COOKIES",2.8,518,4.3,64,2.6,31.2,437,11,7
28056,Baked Products,"KEEBLER,CHIPS DELUXE,MINI CHOC CHIP COOKIES",2.7,498,5.2,68,2.4,31,418,9.2,10
28057,Baked Products,"KEEBLER,CHIPS DELUXE,OATMEAL CHOC CHIP COOKIES",3,500,6.4,65.3,4.4,32.3,332,9.4,0
28058,Baked Products,"KEEBLER,CHIPS DELUXE,ORIGINAL CHOC CHIP COOKIES",2.8,517,5.5,62.7,2.9,30.1,350,11.1,9
28059,Baked Products,"KEEBLER,CHIPS DELUXE,PNUT BUTTER CUPS COOKIES",3,519,6,60.8,2.3,30.2,285,12.8,2
28060,Baked Products,"KEEBLER,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES",2.5,502,5.1,65,2.4,33.5,332,10.4,11
28061,Baked Products,"KEEBLER,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE SIZE",2.35,505,4.75,68.55,1.7,35.3,311,9.65,3
28062,Baked Products,"KEEBLER,CHIPS DELUXE,SOFT 'N CHEWY CHOC CHIP COOKIES",6,464,4.2,67.4,2.5,29.9,349,8.5,5
28064,Baked Products,"KEEBLER,CLUB,DASH OF SALT CRACKERS",2.5,490,6.8,66.3,2.1,7.3,432,3.6,0
28065,Baked Products,"KEEBLER,CLUB,MINIS ORIGINAL CRACKERS",2.5,479,6,66.4,2.2,8,972,4.8,0
28066,Baked Products,"KEEBLER,CLUB,MINIS MULTIGRAIN CRACKERS",2,470,7.3,67.4,3.7,10.7,876,4.5,0
28067,Baked Products,"KEEBLER,CLUB,MULTIGRAIN CRACKERS",2.5,466,7.1,65.9,3.5,12,883,3.3,0
28068,Baked Products,"KEEBLER,CLUB,ORIGINAL CRACKERS",2,486,5.5,66.2,1.9,8.9,909,3.6,0
28069,Baked Products,"KEEBLER,CLUB,RED FAT CRACKERS",2,441,6.1,73.1,2,10.1,938,2.4,0
28072,Baked Products,"KEEBLER,COUNTRY STYLE OATMEAL COOKIES W/ RAISINS",4,482,6.5,67,3.6,29.9,362,6.9,0
28073,Baked Products,"KEEBLER,DANISH WEDDING COOKIES",4,504,3.9,68.3,2.6,37.9,267,11.6,0
28074,Baked Products,"KEEBLER,E.L. FUDGE,BUTTER FLAV COOKIES",2.5,482,5.5,70,3.4,33.9,275,7,12
28075,Baked Products,"KEEBLER,E.L. FUDGE,DOUBLE STUFFED COOKIES",2,512,4.6,67.6,4.1,38.5,266,10.5,10
28076,Baked Products,"KEEBLER,FUDGE SHOPPE,CHEESECAKE MIDDLES,DK CHOC",2,506,4.4,64.7,4.1,33.7,320,14.1,1
28077,Baked Products,"KEEBLER,FUDGE SHOPPE,CHEESECAKE MIDDLES,ORIGINAL GRAHAM COOK",2,507,4.2,65.5,3.2,33.2,259,13.8,1
28078,Baked Products,"KEEBLER,FUDGE SHOPPE,MINT CREME MIDDLES,CHOC GRAHAM COOKIES",1.4,516,4.3,65.4,3.2,38.9,283,15.6,0
28079,Baked Products,"KEEBLER,FUDGE SHOPPE,COCNT DREAMS COOKIES",6,499,3.5,61.4,3.3,34.5,193,20.7,2
28080,Baked Products,"KEEBLER,FUDGE SHOPPE,DELUXE GRAHAMS COOKIES",2,511,4,66.6,2.2,37.3,265,17.2,1
28081,Baked Products,"KEEBLER,FUDGE SHOPPE,CARAMEL FILLED COOKIES",3.5,506,2.9,66.7,1.6,42,138,17.9,3
28082,Baked Products,"KEEBLER,FUDGE SHOPPE,PNUT CREME FILLED COOKIES",2,537,7.2,57.6,3.3,30.3,354,16.9,0
28083,Baked Products,"KEEBLER,FUDGE SHOPPE,TRIPLE FUDGE FILLED COOKIES",1.2,533,3.6,64.2,3,42.7,235,17.1,0
28084,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE-DIPPED ICE CRM CUPS",1,485,6,73.1,2.2,25.7,136,16.8,0
28085,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE GRAHAMS,1/2 DIPPED,RED FAT",2.5,470,5.6,73.7,3.2,34.1,324,10,1
28086,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STKS",1,529,2.6,68.8,1.3,53,131,16.9,0
28087,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,DK CHOC",1.77,487,4.3,70.1,3.1,39.9,370,14.5,0
28088,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,HOLIDAY/SPIDERMAN",2,498,4.1,68.8,1.9,33.8,271,14.8,1
28089,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,MINI",2,497,4.2,68.7,1.8,31.8,367,13.8,1
28091,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,OATMEAL",1.9,478,5.5,66.4,7.1,33.1,367,14.7,0
28092,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,ORIGINAL",2,500,4.1,68.6,1.9,33.8,348,14.8,1
28093,Baked Products,"KEEBLER,FUDGE SHOPPE,GRASSHOPPER COOKIES,FUDGE MINT",2,499,4,68.3,2.4,39.7,266,16.4,1
28094,Baked Products,"KEEBLER,FUDGE SHOPPE,JUMBO FUDGE STKS,VANILLA",1,530,2.4,68.6,1.7,51.2,113,17,0
28095,Baked Products,"KEEBLER,FUDGE SHOPPE,JUMBO FUDGE STKS,PNUT BUTTER",1,537,7.1,60.6,3.2,40.8,121,15.7,0
28096,Baked Products,"KEEBLER,FUDGE SHOPPE,MAGIC MIDDLES FUDGE FILLED COOKIES,ORIG",3.8,521,5,62.5,1.9,33,187,9.9,14
28097,Baked Products,"KEEBLER,FUDGE SHOPPE,MERRY MINT PATTIES,HOLIDAY",1,528,2.9,66.7,1.4,44.3,249,23.3,0
28098,Baked Products,"KEEBLER,FUDGE SHOPPE,MAGIC MIDDLES FUDGE FILLED COOKIES,PNUT",3.8,514,6.9,59.2,2.7,34.5,479,8.9,14
28100,Baked Products,"KEEBLER,FUDGE SHOPPE,FUDGE STKS,PNUT BUTTER",1,544,6.8,60,2.7,41.4,138,17.4,0
28101,Baked Products,"KEEBLER,CINN TOAST GRAHAMS",3.5,429,7.3,73.9,4.8,26,447,4.3,0
28102,Baked Products,"KEEBLER,GRIPZ,CHIPS DELUXE,CHOC CHIP COOKIES,BITE-SIZE",2.7,473,5.3,71.3,2.5,31.4,385,7.7,0
28103,Baked Products,"KEEBLER,GRIPZ,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE-SI",2.7,470,4.7,74.3,1.8,33.5,383,7.1,0
28104,Baked Products,"KEEBLER,GRIPZ,CHOC CHIP GRAHAMS,BITE-SIZE",2.5,433,7.4,75.6,11,22.8,289,4.8,0
28105,Baked Products,"KEEBLER,GRIPZ,CINN GRAHAMS,BITE-SIZE",2.5,415,7.4,75.6,10.4,20.5,324,4.1,0
28106,Baked Products,"KEEBLER,ALMOND CRESCENTS COOKIES,HOLIDAY",3,482,5.1,70.1,1.6,26,407,6.3,0
28107,Baked Products,"KEEBLER,GINGERBREAD MEN COOKIES,HOLIDAY",3.5,444,4.9,77.9,2.1,32.9,420,3.9,0
28108,Baked Products,"KEEBLER,HOLIDAY JINGLES COOKIES",3,470,5,73.9,1.5,28.2,380,5.5,0
28109,Baked Products,"KEEBLER,ICED OATMEAL COOKIES",4.5,467,6.5,69.5,4.1,35.6,297,5.8,0
28110,Baked Products,"KEEBLER,TOAST & PNUT BUTTER SNDWCH CRACKERS",2.7,489,10.6,60.2,3.2,11.6,772,3.6,0
28111,Baked Products,"KEEBLER,READY CRUST,CHOC PIE CRUST",3,490,5.1,67.7,1.8,28.7,507,5,0
28112,Baked Products,"KEEBLER,READY CRUST,SHORTBREAD PIE CRUST",2,502,4.4,69.1,1.3,26.6,430,5.1,0
28113,Baked Products,"KEEBLER,100 CAL RIGHT BITES,CHIPS DELUXE,CHOC CHIP COOKIES",2.8,452,4.7,77.7,3.1,40.3,441,5.3,0
28114,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,DK CHOC FUDGE STRIP",1.82,479,4.5,71.2,3.2,39.3,392,13.4,0
28115,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,FUDGE COVERED PRETZ",2,455,7.5,71.3,3.9,32.9,595,15.2,1
28116,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,COOKIES 'N CREME",2.5,471,4,72.2,2.4,39.7,423,12.7,0
28117,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI BROWNIES",9,455,4.5,65.1,2.8,31.5,284,7.4,0
28118,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI FUDGE GRAHAMS",2.5,467,4.5,73.2,2.3,34.8,349,11.1,0
28119,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI FUDGE STRIPES",2,470,4,74.3,1.9,39.2,314,12.9,1
28120,Baked Products,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI MINTS GRASSHOP",2.5,456,5.2,75,2.9,34.5,343,10.3,1
28121,Baked Products,"KEEBLER,100 CAL RIGHT BITES,SANDIES SHORTBREAD COOKIES,FUDGE",2.5,462,4.1,72.4,13.2,27,253,11.2,0
28122,Baked Products,"KEEBLER,100 CAL RIGHT BITES,SANDIES SHORTBREAD COOKIES",2.75,468,5.2,73.9,1.4,25.8,438,6.8,8
28123,Baked Products,"KEEBLER,100 CAL RIGHT BITES,WHITE FUDGE DIPPED PRETZELS",2.4,483,7,68.8,2.3,31.7,632,16.7,2
28124,Baked Products,"KEEBLER,SANDIES,CASHEW SHORTBREAD COOKIES",3,535,6.3,59.3,1.5,23.2,370,9.5,11
28125,Baked Products,"KEEBLER,SANDIES,CHOC CHIP & PECAN SHORTBREAD COOKIES",2.5,546,5.6,59.2,2.4,26.5,304,10.7,11
28126,Baked Products,"KEEBLER,SANDIES,DK CHOC ALMOND SHORTBREAD COOKIES",2.5,540,6.1,59.9,2.6,26.5,303,10.8,9
28127,Baked Products,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES",3,541,5,59,1.9,22.5,354,9.5,12
28128,Baked Products,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES,BITE SIZE",2.8,547,5,58.7,1.6,22.5,333,9.5,5
28129,Baked Products,"KEEBLER,SANDIES,PECAN SHORTBREAD COOKIES,RED FAT",3.9,488,6.7,67.1,2.1,23.9,401,6.6,0
28130,Baked Products,"KEEBLER,SOFT BATCH,CHOC CHIP COOKIES",6,477,3.6,66.2,1.7,36.9,350,9,0
28131,Baked Products,"KEEBLER,SWT CREMES COOKIES",2.4,469,4.5,71,1.3,32,267,6.5,0
28132,Baked Products,"KEEBLER,TSTD COCNT COOKIES",2.5,475,3.8,69.9,2.3,41.2,324,10.3,0
28133,Baked Products,"KEEBLER,TOASTEDS,BUTTERCRISPS CRACKERS",2.5,495,5.5,65,1.8,8.4,930,4,2
28134,Baked Products,"KEEBLER,TOASTEDS,PARTY PK CRACKER ASSORTMENT",2.5,483,6.5,64.4,2.9,7.2,904,3.8,1
28135,Baked Products,"KEEBLER,TOASTEDS,ONION CRACKERS",2,479,5.7,67.7,2.2,9.7,1006,3.4,0
28136,Baked Products,"KEEBLER,TOASTEDS,SESAME CRACKERS",2,496,6.6,62.6,2.8,4.1,887,3.5,0
28137,Baked Products,"KEEBLER,TOASTEDS,WHEAT CRACKERS",3,466,8.3,66.1,4,9,875,3.2,0
28138,Baked Products,"KEEBLER,TOWN HOUSE,BISTRO MULTIGRAIN CRACKERS",2.2,460,7.3,67,3.4,8.6,797,4.3,4
28139,Baked Products,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,CHS",2.4,476,8,61.3,2.1,5.4,1454,4,5
28140,Baked Products,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,GARLIC HERB",2.3,486,6.5,63,2.2,6.6,1517,4.1,0
28141,Baked Products,"KEEBLER,TOWN HOUSE,FLIPSIDES,PRETZEL CRACKERS,ORIGINAL",2.5,487,6.6,64.3,2.1,6.8,1240,3.8,0
