nbd,foodgrp,name,water,energy,protein,carb,fiber,sugar,sodium,satfat,chol
21282,Fast Foods,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZA,CLSSIC HAND-TOSSED CRST",50.77,244,10.33,25.72,2,3.3,456,4.386,20
21283,Fast Foods,"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST",44.16,260,11.53,32.74,1.9,5.32,578,3.871,19
21284,Fast Foods,"PAPA JOHN'S 14"" PEPPERONI PIZZA,ORIGINAL CRUST",43.6,275,11.97,30.04,1.2,4.84,671,4.908,26
21285,Fast Foods,"PAPA JOHN'S 14"" THE WORKS PIZZA,ORIGINAL CRUST",50.57,240,10.27,26.69,2.5,4.84,570,3.765,21
21286,Fast Foods,"PAPA JOHN'S 14"" CHS PIZZA,THIN CRUST",43.3,295,12.29,26.26,2.3,3.85,528,6.202,28
21287,Fast Foods,"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA,REG CRUST",43.39,265,13.39,31.5,1.7,4.02,454,4.206,24
21288,Fast Foods,"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA,REG CRUST",42.57,273,13.59,31.01,1.7,3.76,518,4.541,28
21289,Fast Foods,"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA,REG CRUST",51.1,243,12.12,23.1,2.1,3.74,578,4.561,31
21290,Fast Foods,"LITTLE CAESARS 14"" CHS PIZZA,LRG DEEP DISH CRUST",44.9,263,12.63,30.1,1.3,3.66,432,4.237,23
21291,Fast Foods,"LITTLE CAESARS 14"" PEPPERONI PIZZA,LRG DEEP DISH CRUST",44.98,265,12.93,29.03,1.5,3.39,492,4.314,26
21292,Fast Foods,"LITTLE CAESARS 14"" CHS PIZZA,THIN CRUST",41.21,309,16.23,22.85,1.6,2.76,455,7.327,39
21293,Fast Foods,"PIZZA HUT 14"" CHS PIZZA,HAND-TOSSED CRUST",41.48,275,11.98,33.42,2.4,3.13,674,4.819,18
21294,Fast Foods,"PIZZA HUT 14"" CHS PIZZA,PAN CRUST",42.68,276,10.85,32.85,2.1,2.47,580,4.39,18
21295,Fast Foods,"PIZZA HUT 14"" CHS PIZZA,THIN 'N CRISPY CRUST",36.27,306,13.37,34.22,2.4,3.13,857,6.103,30
21296,Fast Foods,"PIZZA HUT 14"" PEPPERONI PIZZA,HAND-TOSSED CRUST",40.15,291,12.23,32.11,2.6,2.82,759,5.404,26
21297,Fast Foods,"PIZZA HUT 14"" PEPPERONI PIZZA,PAN CRUST",41.17,291,11.47,31.79,2,1.95,676,4.823,23
21298,Fast Foods,"PIZZA HUT 14"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",49.15,248,11.34,26.01,2.3,3.04,658,4.217,28
21299,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,REG CRUST",43.17,266,11.39,33.33,2.3,3.58,598,4.465,17
21300,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THICK CRUST",43.05,271,10.81,33.17,2.2,3.34,597,4.226,17
21301,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST",38.92,302,12.85,31.2,2.5,3.61,742,6.224,28
21302,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,REG CRUST",41.77,282,11.74,31.98,2.3,3.26,685,5.092,25
21303,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THICK CRUST",41.53,287,11.49,31.84,2.2,2.93,684,4.839,24
21304,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,MEAT & VEG TOPPING,REG CRUST",50.4,244,11.02,25.38,2.2,3.73,589,4.407,27
21305,Fast Foods,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& SAUSAGE",47.03,291,10.77,22.04,0.6,7.9,652,5.649,132
21306,Fast Foods,"FAST FOODS,GRIDDLE CAKE SNDWCH,SAUSAGE",40.11,318,8.41,31.25,1,11.23,737,5.363,24
21307,Fast Foods,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& BACON",45.85,272,12.03,26.19,0.8,9.56,718,4.121,147
21311,Fast Foods,"MCDONALD'S,CREAMY RANCH SAU",41.36,468,1.11,3.49,0,3.45,708,7.894,21
21314,Fast Foods,"MCDONALD'S,SPICY BUFFALO SAU",76,142,0.54,1.81,1.5,0,2140,2.277,0
21319,Fast Foods,"MCDONALD'S,HASH BROWN",50.42,271,2.48,28.56,2.8,0.54,580,2.327,0
21321,Fast Foods,"MCDONALD'S,HOTCAKES (PLAIN)",48.24,228,6,38.27,1.4,8.84,358,1.158,13
21327,Fast Foods,"MCDONALD'S,BACON,EGG & CHS MCGRIDDLES",45.85,272,12.03,26.19,0.8,9.56,673,4.201,147
21328,Fast Foods,"MCDONALD'S,SAUSAGE MCGRIDDLES",40.11,312,8.41,31.25,1,11.23,737,5.435,24
21329,Fast Foods,"MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES",47.03,283,10.77,22.04,0.6,7.9,652,5.649,132
21333,Fast Foods,"MCDONALD'S,VANILLA RED FAT ICE CRM CONE",63.64,162,4.24,26.36,0.1,19.49,67,2.41,15
21334,Fast Foods,"MCDONALD'S,STRAWBERRY SUNDAE",64.02,158,3.19,28.09,0,25.32,47,2.008,13
21335,Fast Foods,"MCDONALD'S,HOT CARAMEL SUNDAE",57.27,188,3.58,33.36,0,23.54,80,2.468,16
21336,Fast Foods,"MCDONALD'S,HOT FUDGE SUNDAE",58.81,186,4.14,30.05,0.4,26.89,94,3.592,13
21338,Fast Foods,"MCDONALD'S,MCFLURRY W/ M&M'S CANDIES",61.74,177,4.02,26.82,0.2,24.37,54,3.402,16
21339,Fast Foods,"MCDONALD'S,MCFLURRY W/ OREO COOKIES",63.9,165,3.97,25.55,0.1,21.19,75,2.577,15
21340,Fast Foods,"MCDONALD'S,SAUSAGE BURRITO",49.41,262,11.54,21.39,1.1,1.25,675,5.361,153
21341,Fast Foods,"MCDONALD'S,BIG BRKFST",50.68,285,10.16,17.5,1.1,0.93,549,6.405,173
21344,Fast Foods,"MCDONALD'S,DOUBLE CHEESEBURGER",47,282,15.5,18.79,0.8,4.23,668,6.998,48
21345,Fast Foods,"MCDONALD'S,DOUBLE QUARTER POUNDER W/ CHS",50.34,262,16.96,14.43,1,3.49,476,6.473,57
21346,Fast Foods,"MCDONALD'S,NEWMAN'S OWN COBB DRSNG",66.41,196,1.69,15.49,0.3,7.79,709,2.77,13
21347,Fast Foods,"MCDONALD'S,NEWMAN'S OWN CREAMY CAESAR DRSNG",54.9,319,3.56,6.85,0.1,3,851,5.86,35
21348,Fast Foods,"MCDONALD'S,NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE",66.05,86,0.19,24.65,0.4,6.74,1562,0.87,0
21349,Fast Foods,"MCDONALD'S,NEWMAN'S OWN RANCH DRSNG",51.35,313,2.62,16.75,0.3,6.57,954,4.36,32
21350,Fast Foods,"MCDONALD'S,BIG MAC (WITHOUT BIG MAC SAUCE)",52.76,234,12.79,21.01,1.7,3.7,454,4.162,35
21355,Fast Foods,"MCDONALD'S,MCCHICKEN SNDWCH",46.11,273,10.43,27.97,1.3,3.57,624,2.346,27
21356,Fast Foods,"MCDONALD'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE)",47.43,240,11.08,30.95,1.4,4.16,555,1.636,22
